"category","icon_name"
"technology-robot","technology-robot-ai"
"technology-robot-ai-signal","technology-robot-ai-signal-1"
"technology-robot-ai-signal","technology-robot-ai-signal-2"
"transportation","transportation-bicycle"
"transportation","transportation-helicopter"
"transportation","transportation-motorcycle"
"transportation","transportation-plane"
"transportation","transportation-train"
"transportation","transportation-truck"
"transportation","transportation-vintage-train"
"travel-wayfinding","travel-wayfinding-balloon"
"travel-wayfinding-beach","travel-wayfinding-beach-coconut-tree"
"travel-wayfinding-beach","travel-wayfinding-beach-umbrella"
"travel-wayfinding","travel-wayfinding-pool-ladder"
"ui","ui-design-website"
"user-gender","user-gender-female"
"user-gender-female","user-gender-female-male"
"user-gender","user-gender-gay"
"user-gender","user-gender-lesbian"
"user-gender","user-gender-male"
"user","user-man-love"
"user","user-single-aim"
"user","user-sleep"
"user","user-woman-increasing-arrow"
"video-movies","video-movies-player"
"video-movies","video-movies-set-equipment"
"video-movies","video-movies-video-square"
"video-movies-vintage-tv","video-movies-vintage-tv-1"
"video-movies-vintage-tv","video-movies-vintage-tv-2"
"video-movies-vintage-tv","video-movies-vintage-tv-3"
"weather","weather-cloud-sun-fine"
"weather","weather-cresent-moon-stars"
"weather","weather-meteor"
"weather","weather-rainbow"
"weather","weather-snowman"
"weather","weather-temperature-thermometer"
"weather","weather-umbrella"
"weather-umbrella","weather-umbrella-snowing"
"weather","weather-wind-flag"
